"occuptional  (SSYK 2012)","age","sex","2014","2015","2016","2017","2018"
"311 Physical and engineering science technicians","18-24 years","men",26300,27500,25800,28000,28300
"311 Physical and engineering science technicians","18-24 years","women",25300,33200,25900,27600,27300
"311 Physical and engineering science technicians","25-29 years","men",30400,31800,31100,32600,34100
"311 Physical and engineering science technicians","25-29 years","women",29600,29900,30200,31300,32000
"311 Physical and engineering science technicians","30-34 years","men",34500,34300,36000,37000,37800
"311 Physical and engineering science technicians","30-34 years","women",33400,30900,35700,34900,35300
"311 Physical and engineering science technicians","35-39 years","men",37400,37600,39500,40500,40800
"311 Physical and engineering science technicians","35-39 years","women",37700,36600,36800,39300,37800
"311 Physical and engineering science technicians","40-44 years","men",38200,38600,41000,42400,44000
"311 Physical and engineering science technicians","40-44 years","women",36900,37800,41800,36400,38100
"311 Physical and engineering science technicians","45-49 years","men",38900,39300,41500,41800,44200
"311 Physical and engineering science technicians","45-49 years","women",36500,36400,40400,39900,..
"311 Physical and engineering science technicians","50-54 years","men",39300,39400,40100,41400,43100
"311 Physical and engineering science technicians","50-54 years","women",36200,37900,37900,40100,41100
"311 Physical and engineering science technicians","55-59 years","men",39100,38700,40800,42000,45000
"311 Physical and engineering science technicians","55-59 years","women",36700,38400,37600,39300,38800
"311 Physical and engineering science technicians","60-64 years","men",39600,40300,41000,42900,44900
"311 Physical and engineering science technicians","60-64 years","women",33100,35700,35400,36600,38400
"311 Physical and engineering science technicians","65-66 years","men",41600,40200,40100,43400,..
"311 Physical and engineering science technicians","65-66 years","women",..,..,..,..,..
"311 Physical and engineering science technicians","total","men",37100,37300,38500,39800,41600
"311 Physical and engineering science technicians","total","women",34600,35000,36600,36500,38600
