"region","sector","occuptional  (SSYK 2012)","sex","2014","2015","2016","2017","2018"
"SE11 Stockholm","0 all sectors","311 Physical and engineering science technicians","men",40300,40000,41300,42400,43600
"SE11 Stockholm","0 all sectors","311 Physical and engineering science technicians","women",37200,36300,38900,37300,..
"SE12 East-Central Sweden","0 all sectors","311 Physical and engineering science technicians","men",36700,37400,39600,40500,41100
"SE12 East-Central Sweden","0 all sectors","311 Physical and engineering science technicians","women",33900,34700,37600,35700,34700
"SE21 Småland and islands","0 all sectors","311 Physical and engineering science technicians","men",33700,34800,36100,37200,40300
"SE21 Småland and islands","0 all sectors","311 Physical and engineering science technicians","women",29900,31800,32700,34200,36100
"SE22 South Sweden","0 all sectors","311 Physical and engineering science technicians","men",36500,37700,38500,41200,42100
"SE22 South Sweden","0 all sectors","311 Physical and engineering science technicians","women",34100,34600,36000,36500,38100
"SE23 West Sweden","0 all sectors","311 Physical and engineering science technicians","men",36600,36300,38100,38600,40200
"SE23 West Sweden","0 all sectors","311 Physical and engineering science technicians","women",34400,34700,36200,37700,36600
"SE31 North-Central Sweden","0 all sectors","311 Physical and engineering science technicians","men",34900,34800,36400,37600,39100
"SE31 North-Central Sweden","0 all sectors","311 Physical and engineering science technicians","women",32600,33500,34000,34900,36400
"SE32 Central Norrland","0 all sectors","311 Physical and engineering science technicians","men",35900,37500,35700,38000,..
"SE32 Central Norrland","0 all sectors","311 Physical and engineering science technicians","women",33700,35700,35000,35200,34100
"SE33 Upper Norrland","0 all sectors","311 Physical and engineering science technicians","men",35000,35000,32700,36000,39300
"SE33 Upper Norrland","0 all sectors","311 Physical and engineering science technicians","women",33200,33300,30500,34400,36400
