"region","occupation (SSYK 2012)","sector","sex","2017"
"01 Stockholm county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",17071
"01 Stockholm county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",6607
"03 Uppsala county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",1518
"03 Uppsala county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",688
"04 Södermanland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",928
"04 Södermanland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",246
"05 Östergötland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",4960
"05 Östergötland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",1188
"06 Jönköping county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",1427
"06 Jönköping county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",300
"07 Kronoberg county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",873
"07 Kronoberg county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",182
"08 Kalmar county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",761
"08 Kalmar county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",135
"09 Gotland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",40
"09 Gotland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",5
"10 Blekinge county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",999
"10 Blekinge county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",184
"12 Skåne county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",7271
"12 Skåne county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",2211
"13 Halland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",702
"13 Halland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",203
"14 Västra Götaland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",17396
"14 Västra Götaland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",5311
"17 Värmland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",1309
"17 Värmland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",311
"18 Örebro county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",1451
"18 Örebro county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",368
"19 Västmanland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",2449
"19 Västmanland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",614
"20 Dalarna county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",1476
"20 Dalarna county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",365
"21 Gävleborg county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",960
"21 Gävleborg county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",176
"22 Västernorrland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",1206
"22 Västernorrland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",283
"23 Jämtland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",256
"23 Jämtland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",51
"24 Västerbotten county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",1019
"24 Västerbotten county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",275
"25 Norrbotten county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",1092
"25 Norrbotten county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",250
"99 County unknown","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",12
"99 County unknown","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",2
